name,lat,lon
Odense,55.4038,10.4024
Kiel,54.3233,10.1228
Aabenraa,55.0444,9.4178
Kolding,55.4904,9.4721
Nyborg,55.3125,10.7897
Middelfart,55.5064,9.7306
